OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
171873,5640_3795_2_2,37.65937500000,140.94843800000,2011/7/2,135795.53130000000,50
171888,5640_3796_2_1,37.65937500000,140.95781300000,2011/7/2,117658.67970000000,50
171902,5640_3797_1_3,37.66145800000,140.96406300000,2011/7/2,101791.49220000000,10
171905,5640_3797_2_2,37.65937500000,140.97343800000,2011/7/2,84318.48438000000,20
171907,5640_3797_2_4,37.66145800000,140.97343800000,2011/7/2,84348.68750000000,20
171916,5640_3798_1_1,37.65937500000,140.97656300000,2011/7/2,82178.93750000000,20
171920,5640_3798_2_1,37.65937500000,140.98281300000,2011/7/2,76844.46875000000,20
171923,5640_3798_2_4,37.66145800000,140.98593800000,2011/7/2,75223.14844000000,20
171921,5640_3798_2_2,37.65937500000,140.98593800000,2011/7/2,74597.30469000000,70
171936,5640_3799_2_1,37.65937500000,140.99531300000,2011/7/2,79173.07031000000,20
171820,5640_3792_1_1,37.65937500000,140.90156300000,2011/7/2,363483.21880000000,110
171821,5640_3792_1_2,37.65937500000,140.90468800000,2011/7/2,339608.46880000000,110
171824,5640_3792_2_1,37.65937500000,140.90781300000,2011/7/2,314724.56250000000,110
171825,5640_3792_2_2,37.65937500000,140.91093800000,2011/7/2,285347.87500000000,110
171837,5640_3793_1_2,37.65937500000,140.91718800000,2011/7/2,240612.35940000000,20
171856,5640_3794_2_1,37.65937500000,140.93281300000,2011/7/2,173844.89060000000,70
171842,5640_3793_2_3,37.66145800000,140.92031300000,2011/7/2,222927.43750000000,10
171843,5640_3793_2_4,37.66145800000,140.92343800000,2011/7/2,210291.48440000000,10
171845,5640_3793_3_2,37.66354200000,140.91718800000,2011/7/2,235487.31250000000,10
171848,5640_3793_4_1,37.66354200000,140.92031300000,2011/7/2,215971.85940000000,10
171849,5640_3793_4_2,37.66354200000,140.92343800000,2011/7/2,202945.23440000000,10
171855,5640_3794_1_4,37.66145800000,140.92968800000,2011/7/2,191419.76560000000,10
171857,5640_3794_2_2,37.65937500000,140.93593800000,2011/7/2,161085.31250000000,10
171858,5640_3794_2_3,37.66145800000,140.93281300000,2011/7/2,174282.78130000000,10
171860,5640_3794_3_1,37.66354200000,140.92656300000,2011/7/2,202210.07810000000,10
171861,5640_3794_3_2,37.66354200000,140.92968800000,2011/7/2,187413.26560000000,10
171862,5640_3794_3_3,37.66562500000,140.92656300000,2011/7/2,190879.79690000000,10
171863,5640_3794_3_4,37.66562500000,140.92968800000,2011/7/2,178237.42190000000,10
171864,5640_3794_4_1,37.66354200000,140.93281300000,2011/7/2,172227.51560000000,10
171865,5640_3794_4_2,37.66354200000,140.93593800000,2011/7/2,160143.89060000000,10
